"ngrams","I","n","S"
"shkshy","H",1,"Herbal"
"shky","H",6,"Herbal"
"sho","H",95,"Herbal"
"shoaiin","H",1,"Herbal"
"shocfhey","H",1,"Herbal"
"shochol","H",1,"Herbal"
"shochy","H",1,"Herbal"
"shockhchy","H",1,"Herbal"
"shockho","H",1,"Herbal"
"shockhy","H",2,"Herbal"
"shocphhy","H",1,"Herbal"
"shocphor","H",1,"Herbal"
"shocthol","H",1,"Herbal"
"shocthy","H",7,"Herbal"
"shod","H",4,"Herbal"
"shodaiin","H",13,"Herbal"
"shodal","H",2,"Herbal"
"shodam","H",1,"Herbal"
"shodody","H",1,"Herbal"
"shodol","H",2,"Herbal"
"shody","H",28,"Herbal"
"shoeey","H",1,"Herbal"
"shoeor","H",1,"Herbal"
"shofom","H",1,"Herbal"
"shoiin","H",5,"Herbal"
"shoin","H",1,"Herbal"
"shok","H",1,"Herbal"
"shokaiin","H",1,"Herbal"
"shokchy","H",5,"Herbal"
"shokeeol","H",1,"Herbal"
"shokeey","H",1,"Herbal"
"shokeshy","H",1,"Herbal"
"shokey","H",1,"Herbal"
"shokocfhy","H",1,"Herbal"
"shokog","H",1,"Herbal"
"shokol","H",2,"Herbal"
"shoky","H",2,"Herbal"
"shokyd","H",1,"Herbal"
"shol","H",111,"Herbal"
"sholdy","H",1,"Herbal"
"sholkshy","H",1,"Herbal"
"sholo","H",1,"Herbal"
"sholoiin","H",1,"Herbal"
"sholol","H",1,"Herbal"
"sholor","H",1,"Herbal"
"shols","H",1,"Herbal"
"sholy","H",2,"Herbal"
"shom","H",3,"Herbal"
"shopchey","H",1,"Herbal"
"shopchy","H",1,"Herbal"
"shoqoky","H",1,"Herbal"
"shor","H",67,"Herbal"
"shordy","H",1,"Herbal"
"shorodo","H",1,"Herbal"
"shorody","H",1,"Herbal"
"shory","H",4,"Herbal"
"shos","H",7,"Herbal"
"shosaiin","H",3,"Herbal"
"shoshy","H",1,"Herbal"
"shot","H",2,"Herbal"
"shotchdy","H",1,"Herbal"
"shotcho","H",1,"Herbal"
"shotchot","H",1,"Herbal"
"shotchy","H",2,"Herbal"
"shoteo","H",1,"Herbal"
"shoto","H",1,"Herbal"
"shotokody","H",1,"Herbal"
"shotol","H",3,"Herbal"
"shotoly","H",1,"Herbal"
"shotshy","H",1,"Herbal"
"shoty","H",5,"Herbal"
"shoyty","H",1,"Herbal"
"shs","H",2,"Herbal"
"shsdy","H",1,"Herbal"
"shshes","H",1,"Herbal"
"shso","H",1,"Herbal"
"shsopam","H",1,"Herbal"
"shtaiin","H",1,"Herbal"
"shtchy","H",2,"Herbal"
"shtshy","H",1,"Herbal"
"shty","H",1,"Herbal"
"shy","H",68,"Herbal"
"shydal","H",1,"Herbal"
"shykeody","H",1,"Herbal"
"shyshol","H",1,"Herbal"
"skaiiodar","H",1,"Herbal"
"skchdy","H",1,"Herbal"
"sky","H",1,"Herbal"
"sl","H",1,"Herbal"
"so","H",3,"Herbal"
"soaiin","H",1,"Herbal"
"sochey","H",1,"Herbal"
"sockhody","H",1,"Herbal"
"socthh","H",1,"Herbal"
"socthody","H",1,"Herbal"
"sod","H",1,"Herbal"
"sodaiin","H",2,"Herbal"
"sodal","H",1,"Herbal"
"sodar","H",1,"Herbal"
"sody","H",3,"Herbal"
"soeeol","H",1,"Herbal"
"soeom","H",1,"Herbal"
"soiiin","H",2,"Herbal"
"soiin","H",7,"Herbal"
"soin","H",1,"Herbal"
"sokaiin","H",1,"Herbal"
"sokar","H",1,"Herbal"
"sokchol","H",1,"Herbal"
"sokchor","H",1,"Herbal"
"sokchy","H",1,"Herbal"
"sokeey","H",1,"Herbal"
"sol","H",11,"Herbal"
"solaiin","H",1,"Herbal"
"sold","H",1,"Herbal"
"soleeg","H",1,"Herbal"
"solkaiin","H",1,"Herbal"
"soloiin","H",1,"Herbal"
"som","H",1,"Herbal"
"soocth","H",1,"Herbal"
"sor","H",16,"Herbal"
"soraiin","H",3,"Herbal"
"sorain","H",1,"Herbal"
"sos","H",5,"Herbal"
"sosar","H",1,"Herbal"
"soshy","H",2,"Herbal"
"sotchaiin","H",1,"Herbal"
"sotchy","H",1,"Herbal"
"sotoiiin","H",1,"Herbal"
"soty","H",1,"Herbal"
"soy","H",2,"Herbal"
"soydy","H",1,"Herbal"
"spaiin","H",1,"Herbal"
"ss","H",1,"Herbal"
"ssear","H",1,"Herbal"
"sshey","H",1,"Herbal"
"stsheol","H",1,"Herbal"
"sy","H",21,"Herbal"
"sykaiin","H",1,"Herbal"
"syky","H",1,"Herbal"
"syty","H",1,"Herbal"
"taiin","H",16,"Herbal"
"taipar","H",1,"Herbal"
"tair","H",1,"Herbal"
"tal","H",1,"Herbal"
"talam","H",1,"Herbal"
"talody","H",1,"Herbal"
"tam","H",4,"Herbal"
"tan","H",1,"Herbal"
"taor","H",1,"Herbal"
"tar","H",13,"Herbal"
"taraiin","H",1,"Herbal"
"tarodaiin","H",1,"Herbal"
"taros","H",1,"Herbal"
"tcfhy","H",1,"Herbal"
"tch","H",1,"Herbal"
"tchaiin","H",1,"Herbal"
"tchain","H",1,"Herbal"
"tchalody","H",1,"Herbal"
"tchaly","H",1,"Herbal"
"tchar","H",1,"Herbal"
"tchdaiin","H",2,"Herbal"
"tchddy","H",1,"Herbal"
"tchdor","H",1,"Herbal"
"tchdy","H",5,"Herbal"
"tcheay","H",1,"Herbal"
"tchedor","H",1,"Herbal"
"tchedy","H",5,"Herbal"
"tcheen","H",1,"Herbal"
"tcheey","H",4,"Herbal"
"tcheo","H",3,"Herbal"
"tcheody","H",1,"Herbal"
"tcheol","H",1,"Herbal"
"tcheor","H",1,"Herbal"
"tchey","H",12,"Herbal"
"tchkaiin","H",1,"Herbal"
"tcho","H",6,"Herbal"
"tchod","H",2,"Herbal"
"tchodaiin","H",2,"Herbal"
"tchodar","H",2,"Herbal"
"tchody","H",7,"Herbal"
"tchoep","H",1,"Herbal"
"tchoky","H",1,"Herbal"
"tchokyd","H",1,"Herbal"
"tchol","H",9,"Herbal"
"tcholol","H",2,"Herbal"
"tchols","H",1,"Herbal"
"tchor","H",15,"Herbal"
"tchory","H",1,"Herbal"
"tchos","H",4,"Herbal"
"tchotchey","H",1,"Herbal"
"tchtcho","H",1,"Herbal"
"tchtod","H",1,"Herbal"
"tchty","H",1,"Herbal"
"tchy","H",18,"Herbal"
"tco","H",1,"Herbal"
"tdaiin","H",1,"Herbal"
"tdokchcfhy","H",1,"Herbal"
"te","H",1,"Herbal"
"teaiin","H",1,"Herbal"
"techol","H",1,"Herbal"
"techy","H",1,"Herbal"
"tedaiin","H",1,"Herbal"
"tedain","H",1,"Herbal"
"tedo","H",1,"Herbal"
"tedy","H",11,"Herbal"
"teedal","H",1,"Herbal"
"teedy","H",2,"Herbal"
"teeedy","H",1,"Herbal"
"teeodan","H",1,"Herbal"
"teeol","H",1,"Herbal"
"teeos","H",1,"Herbal"
"teey","H",3,"Herbal"
"teo","H",1,"Herbal"
"teodaiin","H",1,"Herbal"
"teodal","H",1,"Herbal"
"teodar","H",2,"Herbal"
"teol","H",4,"Herbal"
"teor","H",3,"Herbal"
"tey","H",3,"Herbal"
"theody","H",1,"Herbal"
"to","H",1,"Herbal"
"toaiin","H",1,"Herbal"
"toar","H",1,"Herbal"
"tochey","H",1,"Herbal"
"tochol","H",1,"Herbal"
"tochon","H",1,"Herbal"
"tochsy","H",1,"Herbal"
"tockhy","H",2,"Herbal"
"tocphol","H",1,"Herbal"
"tocthy","H",1,"Herbal"
"tod","H",3,"Herbal"
"todaiin","H",6,"Herbal"
"todain","H",1,"Herbal"
"todal","H",1,"Herbal"
"todalain","H",1,"Herbal"
"todaly","H",1,"Herbal"
"todar","H",2,"Herbal"
"todor","H",1,"Herbal"
"tody","H",5,"Herbal"
"toealchs","H",1,"Herbal"
"toeedy","H",2,"Herbal"
"toees","H",1,"Herbal"
"toeoky","H",1,"Herbal"
"tohedy","H",1,"Herbal"
"toiin","H",1,"Herbal"
"tokar","H",2,"Herbal"
"toky","H",1,"Herbal"
"tol","H",19,"Herbal"
"told","H",1,"Herbal"
"toldshy","H",1,"Herbal"
"toldy","H",2,"Herbal"
"tolkain","H",1,"Herbal"
"tolol","H",1,"Herbal"
"tolor","H",1,"Herbal"
"tolshey","H",1,"Herbal"
"tolteedy","H",1,"Herbal"
"tom","H",1,"Herbal"
"tor","H",13,"Herbal"
"torchy","H",2,"Herbal"
"toror","H",1,"Herbal"
"torshor","H",1,"Herbal"
"tos","H",2,"Herbal"
"tosh","H",1,"Herbal"
"toshey","H",1,"Herbal"
"toshy","H",1,"Herbal"
"totchy","H",1,"Herbal"
"toy","H",3,"Herbal"
"tsh","H",1,"Herbal"
"tshaiin","H",1,"Herbal"
"tshdar","H",1,"Herbal"
"tshdol","H",1,"Herbal"
"tshdy","H",3,"Herbal"
"tshed","H",1,"Herbal"
"tshedar","H",1,"Herbal"
"tshedy","H",1,"Herbal"
"tsheoarom","H",1,"Herbal"
"tsheodal","H",1,"Herbal"
"tsheody","H",2,"Herbal"
"tsheos","H",1,"Herbal"
"tshes","H",1,"Herbal"
"tshey","H",2,"Herbal"
"tsho","H",4,"Herbal"
"tshod","H",1,"Herbal"
"tshodody","H",1,"Herbal"
"tshodpy","H",1,"Herbal"
"tshoiin","H",1,"Herbal"
"tshokeody","H",1,"Herbal"
"tshoky","H",1,"Herbal"
"tshol","H",5,"Herbal"
"tsholol","H",1,"Herbal"
"tshor","H",4,"Herbal"
"tshy","H",4,"Herbal"
"ty","H",13,"Herbal"
"tydlo","H",1,"Herbal"
"tydy","H",2,"Herbal"
"xar","H",1,"Herbal"
"xol","H",1,"Herbal"
"xor","H",1,"Herbal"
"y","H",72,"Herbal"
"yaiin","H",1,"Herbal"
"yaiir","H",1,"Herbal"
"yair","H",1,"Herbal"
"ychain","H",2,"Herbal"
"ychair","H",1,"Herbal"
"ycham","H",1,"Herbal"
"ychar","H",2,"Herbal"
"ychcthod","H",1,"Herbal"
"ychdy","H",1,"Herbal"
"ychealod","H",1,"Herbal"
"ychear","H",1,"Herbal"
"ychedy","H",1,"Herbal"
"ycheekeey","H",1,"Herbal"
"ycheeo","H",1,"Herbal"
"ycheey","H",6,"Herbal"
"ychek","H",1,"Herbal"
"ychekchy","H",2,"Herbal"
"ycheo","H",1,"Herbal"
"ycheoky","H",2,"Herbal"
"ycheol","H",2,"Herbal"
"ycheom","H",1,"Herbal"
"ycheor","H",5,"Herbal"
"ycheos","H",1,"Herbal"
"yches","H",1,"Herbal"
"ychey","H",5,"Herbal"
"ychky","H",1,"Herbal"
"ycho","H",3,"Herbal"
"ychockaey","H",1,"Herbal"
"ychocthy","H",1,"Herbal"
"ychodaiin","H",1,"Herbal"
"ychody","H",1,"Herbal"
"ychoees","H",1,"Herbal"
"ychok","H",1,"Herbal"
"ychol","H",7,"Herbal"
"ychom","H",1,"Herbal"
"ychoopy","H",1,"Herbal"
"ychor","H",11,"Herbal"
"ychos","H",1,"Herbal"
"ychosar","H",1,"Herbal"
"ychoy","H",1,"Herbal"
"ychtaiin","H",1,"Herbal"
"ychy","H",4,"Herbal"
"ychykchy","H",1,"Herbal"
"yckheody","H",1,"Herbal"
"yckhey","H",1,"Herbal"
"yckhody","H",1,"Herbal"
"ycphko","H",1,"Herbal"
"ycthodaiin","H",1,"Herbal"
"ycthol","H",1,"Herbal"
"yd","H",3,"Herbal"
"ydaiin","H",11,"Herbal"
"ydain","H",3,"Herbal"
"ydair","H",1,"Herbal"
"ydal","H",1,"Herbal"
"ydals","H",1,"Herbal"
"ydam","H",1,"Herbal"
"ydas","H",1,"Herbal"
"ydees","H",1,"Herbal"
"ydey","H",1,"Herbal"
"ydl","H",1,"Herbal"
"ydor","H",1,"Herbal"
"ydsh","H",1,"Herbal"
"ydy","H",4,"Herbal"
"yeeear","H",1,"Herbal"
"yees","H",1,"Herbal"
"yfal","H",1,"Herbal"
"yfchdy","H",1,"Herbal"
"yfcheky","H",1,"Herbal"
"yfchey","H",2,"Herbal"
"yfchor","H",1,"Herbal"
"yfchy","H",1,"Herbal"
"yfodain","H",1,"Herbal"
"yfody","H",1,"Herbal"
"yfoldy","H",1,"Herbal"
"yfor","H",1,"Herbal"
"yk","H",4,"Herbal"
"yka","H",1,"Herbal"
"ykaiiin","H",1,"Herbal"
"ykaiil","H",1,"Herbal"
"ykaiin","H",15,"Herbal"
"ykaiir","H",1,"Herbal"
"ykain","H",3,"Herbal"
"ykair","H",4,"Herbal"
"ykaky","H",1,"Herbal"
"ykal","H",5,"Herbal"
"ykald","H",1,"Herbal"
"ykaly","H",1,"Herbal"
"ykam","H",3,"Herbal"
"ykan","H",1,"Herbal"
"ykar","H",15,"Herbal"
"ykaro","H",1,"Herbal"
"ykarshy","H",1,"Herbal"
"ykch","H",1,"Herbal"
"ykchaiin","H",1,"Herbal"
"ykchdg","H",1,"Herbal"
"ykchdy","H",3,"Herbal"
"ykchedy","H",1,"Herbal"
"ykcheody","H",1,"Herbal"
"ykcheor","H",2,"Herbal"
"ykchey","H",2,"Herbal"
"ykchhdy","H",1,"Herbal"
"ykcho","H",4,"Herbal"
"ykchody","H",1,"Herbal"
"ykchokeo","H",1,"Herbal"
"ykchol","H",5,"Herbal"
"ykcholqod","H",1,"Herbal"
"ykcholy","H",1,"Herbal"
"ykchom","H",1,"Herbal"
"ykchon","H",1,"Herbal"
"ykchor","H",5,"Herbal"
"ykchy","H",19,"Herbal"
"ykdy","H",1,"Herbal"
"ykecthhy","H",1,"Herbal"
"ykedaiin","H",1,"Herbal"
"ykedy","H",12,"Herbal"
"ykeea","H",1,"Herbal"
"ykeechy","H",1,"Herbal"
"ykeedar","H",1,"Herbal"
"ykeedl","H",1,"Herbal"
"ykeedy","H",6,"Herbal"
"ykeeedy","H",1,"Herbal"
"ykeeey","H",1,"Herbal"
"ykeeo","H",2,"Herbal"
"ykeeod","H",2,"Herbal"
"ykeeodam","H",1,"Herbal"
"ykeeody","H",3,"Herbal"
"ykeeol","H",3,"Herbal"
"ykeeols","H",1,"Herbal"
"ykeeor","H",2,"Herbal"
"ykeesan","H",1,"Herbal"
"ykeey","H",18,"Herbal"
"ykeo","H",2,"Herbal"
"ykeod","H",1,"Herbal"
"ykeodar","H",1,"Herbal"
"ykeody","H",4,"Herbal"
"ykeol","H",5,"Herbal"
"ykeoldy","H",1,"Herbal"
"ykeols","H",1,"Herbal"
"ykeor","H",3,"Herbal"
"ykeos","H",2,"Herbal"
"ykey","H",3,"Herbal"
"ykhor","H",1,"Herbal"
"ykoaiin","H",1,"Herbal"
"ykodar","H",1,"Herbal"
"ykody","H",2,"Herbal"
"ykofar","H",1,"Herbal"
"ykoiin","H",3,"Herbal"
"ykol","H",9,"Herbal"
"ykoldy","H",1,"Herbal"
"ykolody","H",1,"Herbal"
"ykoly","H",1,"Herbal"
"ykor","H",7,"Herbal"
"yksh","H",1,"Herbal"
"yksho","H",1,"Herbal"
"ykshol","H",1,"Herbal"
"ykshy","H",2,"Herbal"
"yky","H",11,"Herbal"
"ykychy","H",1,"Herbal"
"ykyka","H",1,"Herbal"
"yl","H",1,"Herbal"
"ylg","H",1,"Herbal"
"yoar","H",1,"Herbal"
"yodaiin","H",1,"Herbal"
"yodam","H",1,"Herbal"
"yoees","H",1,"Herbal"
"yokalod","H",1,"Herbal"
"yokeey","H",1,"Herbal"
"yokor","H",1,"Herbal"
"yol","H",1,"Herbal"
"yolkol","H",1,"Herbal"
"yor","H",2,"Herbal"
"ypaim","H",1,"Herbal"
"ypair","H",1,"Herbal"
"ypar","H",1,"Herbal"
"ypch","H",1,"Herbal"
"ypchaiin","H",1,"Herbal"
"ypchal","H",1,"Herbal"
"ypchar","H",1,"Herbal"
"ypchd","H",1,"Herbal"
"ypchdaiin","H",1,"Herbal"
"ypchdair","H",1,"Herbal"
"ypchdy","H",3,"Herbal"
"ypchedpy","H",1,"Herbal"
"ypchedy","H",8,"Herbal"
"ypcheey","H",1,"Herbal"
"ypchey","H",1,"Herbal"
"ypchocfy","H",1,"Herbal"
"ypchol","H",2,"Herbal"
"ypchor","H",1,"Herbal"
"ypchseds","H",1,"Herbal"
"ypchy","H",3,"Herbal"
"ypdy","H",1,"Herbal"
"ypod","H",1,"Herbal"
"ypsholy","H",1,"Herbal"
"ysaiin","H",2,"Herbal"
"yshedair","H",1,"Herbal"
"yshedy","H",1,"Herbal"
"ysheees","H",1,"Herbal"
"ysheey","H",2,"Herbal"
"ysheol","H",1,"Herbal"
"ysheor","H",1,"Herbal"
"ysheos","H",1,"Herbal"
"ysho","H",3,"Herbal"
"yshol","H",2,"Herbal"
"yshos","H",1,"Herbal"
"yshy","H",1,"Herbal"
"ytaiin","H",15,"Herbal"
"ytain","H",1,"Herbal"
"ytair","H",1,"Herbal"
"ytal","H",7,"Herbal"
"ytaly","H",2,"Herbal"
"ytam","H",6,"Herbal"
"ytar","H",6,"Herbal"
"ytasr","H",1,"Herbal"
"ytch","H",1,"Herbal"
"ytchaiin","H",1,"Herbal"
"ytchar","H",1,"Herbal"
"ytchas","H",1,"Herbal"
"ytchchy","H",1,"Herbal"
"ytchdam","H",1,"Herbal"
"ytchdy","H",6,"Herbal"
"ytchedal","H",1,"Herbal"
"ytchedy","H",4,"Herbal"
"ytcheear","H",1,"Herbal"
"ytcheeky","H",1,"Herbal"
"ytcheey","H",1,"Herbal"
"ytchey","H",7,"Herbal"
"ytcho","H",2,"Herbal"
"ytchodaiin","H",1,"Herbal"
"ytchody","H",3,"Herbal"
"ytchoky","H",1,"Herbal"
"ytchol","H",4,"Herbal"
"ytchom","H",1,"Herbal"
"ytchor","H",10,"Herbal"
"ytchos","H",2,"Herbal"
"ytchoy","H",2,"Herbal"
"ytchy","H",12,"Herbal"
"ytchyd","H",1,"Herbal"
"yteair","H",1,"Herbal"
"yteal","H",1,"Herbal"
"yteam","H",1,"Herbal"
"ytear","H",1,"Herbal"
"yteched","H",1,"Herbal"
"ytecheol","H",1,"Herbal"
"ytedy","H",12,"Herbal"
"yteeay","H",1,"Herbal"
"yteedy","H",8,"Herbal"
"yteeod","H",1,"Herbal"
"yteeodal","H",1,"Herbal"
"yteeody","H",2,"Herbal"
"yteeol","H",1,"Herbal"
"yteeos","H",1,"Herbal"
"yteey","H",7,"Herbal"
"yteo","H",1,"Herbal"
"yteodam","H",1,"Herbal"
"yteody","H",3,"Herbal"
"yteol","H",2,"Herbal"
"yteor","H",1,"Herbal"
"ytey","H",8,"Herbal"
"yto","H",1,"Herbal"
"ytod","H",1,"Herbal"
"ytoda","H",1,"Herbal"
"ytodaiin","H",2,"Herbal"
"ytodaly","H",1,"Herbal"
"ytody","H",4,"Herbal"
"ytoiiin","H",1,"Herbal"
"ytoiin","H",3,"Herbal"
"ytol","H",11,"Herbal"
"ytoldy","H",2,"Herbal"
"ytom","H",1,"Herbal"
"ytor","H",10,"Herbal"
"ytorory","H",1,"Herbal"
"ytoryd","H",1,"Herbal"
"ytos","H",1,"Herbal"
"ytoy","H",1,"Herbal"
"ytshedy","H",2,"Herbal"
"ytsheod","H",1,"Herbal"
"ytsho","H",2,"Herbal"
"ytshy","H",2,"Herbal"
"yty","H",16,"Herbal"
"ytychy","H",1,"Herbal"
"zepchy","H",1,"Herbal"
"a","P",1,"Pharma"
"aiidal","P",1,"Pharma"
"aiiin","P",3,"Pharma"
"aiin","P",28,"Pharma"
"aika","P",1,"Pharma"
"ain","P",3,"Pharma"
"ainoly","P",1,"Pharma"
"air","P",4,"Pharma"
"airam","P",1,"Pharma"
"aithy","P",1,"Pharma"
"al","P",6,"Pharma"
"alcfhy","P",1,"Pharma"
"aloly","P",1,"Pharma"
"alsy","P",1,"Pharma"
"am","P",5,"Pharma"
"amg","P",1,"Pharma"
"ar","P",3,"Pharma"
"araroy","P",1,"Pharma"
"archeey","P",1,"Pharma"
"arody","P",1,"Pharma"
"arol","P",1,"Pharma"
"arom","P",1,"Pharma"
"ary","P",1,"Pharma"
"caeor","P",1,"Pharma"
"cckhhy","P",1,"Pharma"
"cfheol","P",2,"Pharma"
"cfhey","P",1,"Pharma"
"cfhoy","P",1,"Pharma"
"chaly","P",1,"Pharma"
"char","P",1,"Pharma"
"chchy","P",1,"Pharma"
"chckechy","P",1,"Pharma"
"chckheody","P",1,"Pharma"
"chckhey","P",1,"Pharma"
"chckhhy","P",1,"Pharma"
"chckhol","P",1,"Pharma"
"chckhy","P",3,"Pharma"
"chcthy","P",1,"Pharma"
"chdy","P",1,"Pharma"
"cheal","P",1,"Pharma"
"cheamy","P",1,"Pharma"
"chear","P",4,"Pharma"
"checkhey","P",2,"Pharma"
"checkhy","P",1,"Pharma"
"chedy","P",1,"Pharma"
"cheea","P",1,"Pharma"
"cheedy","P",3,"Pharma"
"cheeeal","P",1,"Pharma"
"cheekey","P",1,"Pharma"
"cheeody","P",2,"Pharma"
"cheeokeey","P",1,"Pharma"
"cheeol","P",1,"Pharma"
"cheeor","P",4,"Pharma"
"chees","P",5,"Pharma"
"cheey","P",16,"Pharma"
"chefoly","P",1,"Pharma"
"chekaiin","P",1,"Pharma"
"chekal","P",2,"Pharma"
"chekeey","P",3,"Pharma"
"chekeod","P",1,"Pharma"
"cheky","P",3,"Pharma"
"chem","P",1,"Pharma"
"cheo","P",11,"Pharma"
"cheockhy","P",3,"Pharma"
"cheocphey","P",1,"Pharma"
"cheocthy","P",1,"Pharma"
"cheod","P",1,"Pharma"
"cheodal","P",3,"Pharma"
"cheodam","P",1,"Pharma"
"cheodor","P",1,"Pharma"
"cheody","P",18,"Pharma"
"cheoepey","P",1,"Pharma"
"cheok","P",1,"Pharma"
"cheokal","P",2,"Pharma"
"cheokam","P",1,"Pharma"
"cheokeol","P",1,"Pharma"
"cheokeos","P",1,"Pharma"
"cheoky","P",3,"Pharma"
"cheol","P",40,"Pharma"
"cheoldy","P",1,"Pharma"
"cheols","P",1,"Pharma"
"cheom","P",5,"Pharma"
"cheomam","P",1,"Pharma"
"cheor","P",24,"Pharma"
"cheorol","P",1,"Pharma"
"cheos","P",6,"Pharma"
"cheosdy","P",1,"Pharma"
"cheotchy","P",1,"Pharma"
"cheotey","P",1,"Pharma"
"cheoy","P",1,"Pharma"
"chepy","P",1,"Pharma"
"ches","P",3,"Pharma"
"chetchy","P",1,"Pharma"
"chety","P",1,"Pharma"
"chey","P",21,"Pharma"
"cheyd","P",1,"Pharma"
"cheys","P",1,"Pharma"
"chkaiin","P",1,"Pharma"
"chkam","P",1,"Pharma"
"chkchol","P",1,"Pharma"
"chkeeody","P",1,"Pharma"
"chkeey","P",2,"Pharma"
"chkeor","P",1,"Pharma"
"chkey","P",2,"Pharma"
"cho","P",5,"Pharma"
"chockhar","P",1,"Pharma"
"chockhey","P",2,"Pharma"
"chockhhor","P",1,"Pharma"
"chockhhy","P",1,"Pharma"
"chockhy","P",5,"Pharma"
"chocthey","P",1,"Pharma"
"chod","P",1,"Pharma"
"chodaiin","P",5,"Pharma"
"chodair","P",1,"Pharma"
"chodar","P",1,"Pharma"
"chody","P",11,"Pharma"
"choeees","P",1,"Pharma"
"choeesy","P",1,"Pharma"
"choeey","P",1,"Pharma"
"chofary","P",1,"Pharma"
"chofol","P",1,"Pharma"
"chokaiin","P",1,"Pharma"
"chokam","P",1,"Pharma"
"chokar","P",1,"Pharma"
"chokaro","P",1,"Pharma"
"chokchey","P",1,"Pharma"
"chokeey","P",1,"Pharma"
"chokey","P",1,"Pharma"
"choko","P",1,"Pharma"
"chokol","P",2,"Pharma"
"choky","P",5,"Pharma"
"chol","P",45,"Pharma"
"cholaiin","P",1,"Pharma"
"choldy","P",3,"Pharma"
"cholody","P",1,"Pharma"
"cholp","P",1,"Pharma"
"chols","P",1,"Pharma"
"cholsain","P",1,"Pharma"
"choly","P",2,"Pharma"
"chom","P",3,"Pharma"
"chopcheey","P",1,"Pharma"
"chopy","P",1,"Pharma"
"chor","P",23,"Pharma"
"chordom","P",1,"Pharma"
"choror","P",1,"Pharma"
"chory","P",2,"Pharma"
"chos","P",9,"Pharma"
"chosaiin","P",1,"Pharma"
"chotam","P",1,"Pharma"
"choto","P",1,"Pharma"
"chotols","P",1,"Pharma"
"chotor","P",1,"Pharma"
"choty","P",1,"Pharma"
"choy","P",2,"Pharma"
"chs","P",3,"Pharma"
"chsea","P",1,"Pharma"
"chso","P",1,"Pharma"
"chtodaiin","P",1,"Pharma"
"chy","P",6,"Pharma"
"ckey","P",1,"Pharma"
"ckheeol","P",1,"Pharma"
"ckheey","P",4,"Pharma"
"ckheo","P",2,"Pharma"
"ckheol","P",4,"Pharma"
"ckhey","P",12,"Pharma"
"ckhhy","P",1,"Pharma"
"ckhod","P",1,"Pharma"
"ckhol","P",4,"Pharma"
"ckhoor","P",1,"Pharma"
"ckhor","P",1,"Pharma"
"ckhory","P",1,"Pharma"
"ckhy","P",1,"Pharma"
"coeky","P",1,"Pharma"
"cpheey","P",1,"Pharma"
"cpheocthy","P",1,"Pharma"
"cpheodar","P",1,"Pharma"
"cpheody","P",1,"Pharma"
"cpheol","P",1,"Pharma"
"cpheor","P",1,"Pharma"
"cpheyr","P",1,"Pharma"
"cphoar","P",1,"Pharma"
"cphoeedol","P",1,"Pharma"
"cphol","P",3,"Pharma"
"cthchy","P",1,"Pharma"
"cthdeecthy","P",1,"Pharma"
"cthear","P",1,"Pharma"
"cthedy","P",1,"Pharma"
"ctheey","P",5,"Pharma"
"ctheody","P",2,"Pharma"
"ctheol","P",6,"Pharma"
"ctheoly","P",1,"Pharma"
"ctheor","P",1,"Pharma"
"cthey","P",9,"Pharma"
"cthody","P",3,"Pharma"
"cthol","P",5,"Pharma"
"cthor","P",1,"Pharma"
"cthoral","P",1,"Pharma"
"cthy","P",3,"Pharma"
"ctody","P",1,"Pharma"
"da","P",1,"Pharma"
"daiiin","P",2,"Pharma"
"daiiine","P",1,"Pharma"
"daiim","P",1,"Pharma"
"daiin","P",95,"Pharma"
"daiindy","P",1,"Pharma"
"daikeody","P",1,"Pharma"
"daim","P",2,"Pharma"
"daimg","P",1,"Pharma"
"dain","P",1,"Pharma"
"dair","P",11,"Pharma"
"dairl","P",1,"Pharma"
"dairo","P",1,"Pharma"
"daisn","P",1,"Pharma"
"dal","P",26,"Pharma"
"dald","P",1,"Pharma"
"daldaiin","P",1,"Pharma"
"daldal","P",1,"Pharma"
"daldy","P",1,"Pharma"
"dalg","P",1,"Pharma"
"dalshdy","P",1,"Pharma"
"dalsy","P",1,"Pharma"
"daly","P",1,"Pharma"
"dam","P",10,"Pharma"
"dan","P",1,"Pharma"
"daor","P",1,"Pharma"
"dar","P",19,"Pharma"
"daraiiin","P",1,"Pharma"
"daraly","P",1,"Pharma"
"daramdal","P",1,"Pharma"
"darar","P",1,"Pharma"
"darcheor","P",1,"Pharma"
"darolaly","P",1,"Pharma"
"darolg","P",1,"Pharma"
"darshody","P",1,"Pharma"
"dary","P",1,"Pharma"
"dchdy","P",1,"Pharma"
"dcheo","P",2,"Pharma"
"dcheocy","P",1,"Pharma"
"dcheor","P",2,"Pharma"
"dchey","P",2,"Pharma"
"dcthody","P",1,"Pharma"
"ddor","P",1,"Pharma"
"deeor","P",2,"Pharma"
"deey","P",1,"Pharma"
"deody","P",1,"Pharma"
"desey","P",1,"Pharma"
"dg","P",1,"Pharma"
"do","P",1,"Pharma"
"doaiin","P",1,"Pharma"
"doeey","P",1,"Pharma"
"doef","P",1,"Pharma"
"doeoeas","P",1,"Pharma"
"doiin","P",4,"Pharma"
"doiir","P",3,"Pharma"
"doiisaly","P",1,"Pharma"
"doikhy","P",1,"Pharma"
"doimom","P",1,"Pharma"
"dokor","P",1,"Pharma"
"dol","P",20,"Pharma"
"dolary","P",1,"Pharma"
"dolchoy","P",1,"Pharma"
